title,genres,cast,crew,runtime,vote_count,monthFact,actorFact,genFact,budget,revenue,popularity,vote_average,IMDB,rotten,metaC,release_date
Fantastic Mr. Fox,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'George Clooney', 1: 'Meryl Streep', 2: 'Jason Schwartzman', 3: 'Bill Murray', 4: 'Wallace Wolodarsky', 5: 'Eric Chase Anderson', 6: 'Michael Gambon'}",Wes Anderson,87,1176,0,1,1,40000000,46471023,41.258956,7.5,0.78,0.93,0.83,2009-10-23
Life or Something Like It,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Angelina Jolie', 1: 'Edward Burns', 2: 'Tony Shalhoub', 3: 'Christian Kane', 4: 'Melissa Errico', 5: 'Lisa Thornhill', 6: 'Stockard Channing'}",Stephen Herek,103,124,0,1,1,40000000,16872671,8.980846,5.7,0.58,0.28,0.31,2002-04-26
Memoirs of an Invisible Man,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Chevy Chase', 1: 'Daryl Hannah', 2: 'Sam Neill', 3: 'Michael McKean', 4: 'Stephen Tobolowsky', 5: 'Jim Norton', 6: 'Pat Skipper'}",John Carpenter,99,125,0,0,1,40000000,14358033,7.222985,5.7,0.59,0.21,0.48,1992-02-28
Amélie,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Audrey Tautou', 1: 'Mathieu Kassovitz', 2: 'Rufus', 3: 'Jamel Debbouze', 4: 'Claire Maurier', 5: 'Isabelle Nanty', 6: 'Dominique Pinon'}",Jean-Pierre Jeunet,122,3310,0,0,1,10000000,173921954,73.720244,7.8,0.83,0.89,0.69,2001-04-25
Alfie,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Jude Law', 1: 'Marisa Tomei', 2: 'Omar Epps', 3: 'Jane Krakowski', 4: 'Renée Taylor', 5: 'Jeff Harding', 6: 'Sienna Miller'}",Charles Shyer,103,248,0,0,1,60000000,13395939,15.219263,5.6,0.62,0.49,0.49,2004-10-22
Big Miracle,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Drew Barrymore', 1: 'John Krasinski', 2: 'Kristen Bell', 3: 'Vinessa Shaw', 4: 'Dermot Mulroney', 5: 'Ted Danson', 6: 'Kathy Baker'}",Ken Kwapis,107,152,0,0,1,40000000,24719215,8.303696,6.6,0.65,0.74,0.61,2012-02-02
The Deep End of the Ocean,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]","{0: 'Michelle Pfeiffer', 1: 'Treat Williams', 2: 'Whoopi Goldberg', 3: 'Jonathan Jackson', 4: 'Cory Buck', 5: 'Ryan Merriman', 6: 'Alexa PenaVega'}",Ulu Grosbard,106,54,0,0,0,38000000,28121100,4.746085,5.9,0.63,0.44,0.45,1999-03-12
FearDotCom,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Stephen Dorff', 1: 'Natascha McElhone', 2: 'Stephen Rea', 3: 'Udo Kier', 4: 'Amelia Curtis', 5: 'Jeffrey Combs', 6: 'Anna Thalbach'}",William Malone,101,105,1,0,1,40000000,18902015,6.756886,3.2,0.33,0.03,0.16,2002-08-09
Cirque du Freak: The Vampire's Assistant,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'John C. Reilly', 1: 'Josh Hutcherson', 2: 'Chris Massoglia', 3: 'Patrick Fugit', 4: 'Salma Hayek', 5: 'Jessica Carlson', 6: 'Michael Cerveris'}",Paul Weitz,109,348,0,0,1,40000000,28169671,16.424807,5.5,0.59,0.37,0.43,2009-10-23
Duplex,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Ben Stiller', 1: 'Drew Barrymore', 2: 'Eileen Essell', 3: 'Amber Valletta', 4: 'Justin Theroux', 5: 'Swoosie Kurtz', 6: 'Jackie Sandler'}",Danny DeVito,89,482,0,1,1,40000000,19322135,15.590001,5.9,0.59,0.35,0.5,2003-09-26
Universal Soldier: The Return,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Jean-Claude Van Damme', 1: 'Kiana Tom', 2: 'Bill Goldberg', 3: 'Michael Jai White', 4: 'Heidi Schanz', 5: 'Xander Berkeley', 6: 'Justin Lazard'}",Mic Rodgers,82,135,1,0,1,45000000,10667893,14.566664,4.2,0.41,0.05,0.24,1999-08-05
Pandorum,"[{""id"": 28, ""name"": ""Action""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Ben Foster', 1: 'Dennis Quaid', 2: 'Cam Gigandet', 3: 'Antje Traue', 4: 'Cung Le', 5: 'Eddie Rouse', 6: 'Norman Reedus'}",Christian Alvart,108,774,0,0,1,33000000,20645327,28.353517,6.5,0.68,0.29,0.28,2009-09-08
Impostor,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Gary Sinise', 1: 'Madeleine Stowe', 2: 'Mekhi Phifer', 3: ""Vincent D'Onofrio"", 4: 'Tony Shalhoub', 5: 'Tim Guinee', 6: 'Gary Dourdan'}",Gary Fleder,102,135,0,0,1,40000000,0,9.579975,6.1,0.62,0.22,0.33,2001-12-03
Extreme Ops,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Devon Sawa', 1: 'Bridgette Wilson', 2: 'Rufus Sewell', 3: 'Rupert Graves', 4: 'Heino Ferch', 5: 'Joe Absolom', 6: 'Jana Pallaske'}",Christian Duguay,93,28,0,0,1,40000000,10959475,2.911819,5,0.45,0.07,0.17,2002-11-27
A Thousand Words,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]","{0: 'Eddie Murphy', 1: 'Allison Janney', 2: 'Cliff Curtis', 3: 'Clark Duke', 4: 'Kerry Washington', 5: 'Emanuel Ragsdale', 6: 'Jill Basey'}",Brian Robbins,91,373,0,1,1,40000000,22044277,13.119133,6,0.59,0,0.26,2012-03-07
Delgo,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Freddie Prinze Jr.', 1: 'Jennifer Love Hewitt', 2: 'Val Kilmer', 3: 'Anne Bancroft', 4: 'Chris Kattan', 5: 'Malcolm McDowell', 6: 'Michael Clarke Duncan'}",Jason Maurer,94,15,0,0,1,40000000,0,4.238482,5.4,0.44,0.12,0.27,2008-12-12
The Gunman,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}]","{0: 'Sean Penn', 1: 'Jasmine Trinca', 2: 'Javier Bardem', 3: 'Ray Winstone', 4: 'Mark Rylance', 5: 'Idris Elba', 6: 'Peter Franzén'}",Pierre Morel,115,392,0,0,1,40000000,13644292,26.935458,5.5,0.58,0.17,0.39,2015-02-16
Stormbreaker,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Alex Pettyfer', 1: 'Sarah Bolger', 2: 'Ewan McGregor', 3: 'Robbie Coltrane', 4: 'Stephen Fry', 5: 'Damian Lewis', 6: 'Bill Nighy'}",Geoffrey Sax,93,213,1,0,1,40000000,23937870,16.282962,5.1,0.51,0.34,0.42,2006-07-21
Disturbia,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}]","{0: 'Shia LaBeouf', 1: 'Sarah Roemer', 2: 'Carrie-Anne Moss', 3: 'David Morse', 4: 'Aaron Yoo', 5: 'Jose Pablo Cantillo', 6: 'Matt Craven'}",D.J. Caruso,105,1006,0,0,1,20000000,117760134,31.690456,6.6,0.69,0.69,0.62,2007-04-12
Hackers,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Jonny Lee Miller', 1: 'Angelina Jolie', 2: 'Jesse Bradford', 3: 'Matthew Lillard', 4: 'Renoly Santiago', 5: 'Fisher Stevens', 6: 'Alberta Watson'}",Iain Softley,107,398,0,1,1,20000000,7563728,17.842246,6.2,0.62,0.32,0.46,1995-09-14
The Hudsucker Proxy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Tim Robbins', 1: 'Jennifer Jason Leigh', 2: 'Paul Newman', 3: 'Charles Durning', 4: 'John Mahoney', 5: 'Jim True-Frost', 6: 'Bill Cobbs'}",Joel Coen,111,275,0,0,1,30000000,0,14.188982,7.1,0.73,0.56,0.53,1994-03-11
The Warlords,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]","{0: 'Jet Li', 1: 'Andy Lau', 2: 'Takeshi Kaneshiro', 3: 'Xu Jinglei', 4: 'Wei Zongwan', 5: 'Gu Bao-Ming', 6: 'Wang Kuirong'}",Raymond Yip Wai-Man,126,83,0,0,1,40000000,0,6.884467,6.3,0.71,0.64,0.7,2007-12-12
Nomad: The Warrior,"[{""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]","{0: 'Kuno Becker', 1: 'Jay Hernandez', 2: 'Jason Scott Lee', 3: 'Doskhan Zholzhaksynov', 4: 'Ayanat Ksenbai', 5: 'Mark Dacascos', 6: 'Aziz Beyshenaliev'}",Ivan Passer,112,17,1,0,1,25000000,0,8.212018,4.3,0.6,0.06,0.49,2005-07-17
Snowpiercer,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Chris Evans', 1: 'Song Kang-ho', 2: 'Ed Harris', 3: 'John Hurt', 4: 'Tilda Swinton', 5: 'Jamie Bell', 6: 'Octavia Spencer'}",Bong Joon-ho,126,2854,1,1,1,39200000,86758912,64.238688,6.7,0.7,0.95,0.84,2013-08-01
The Crow,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Brandon Lee', 1: 'Rochelle Davis', 2: 'Ernie Hudson', 3: 'Michael Wincott', 4: 'Bai Ling', 5: 'Sofia Shinas', 6: 'Anna Levine'}",Alex Proyas,102,953,1,0,1,15000000,94000000,44.690107,7.3,0.76,0.8,0.71,1994-05-11
The Time Traveler's Wife,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Eric Bana', 1: 'Rachel McAdams', 2: 'Michelle Nolden', 3: 'Arliss Howard', 4: 'Ron Livingston', 5: 'Brian Bisson', 6: 'Maggie Castle'}",Robert Schwentke,107,798,1,0,0,39000000,101229792,37.492928,6.7,0.71,0.38,0.47,2009-08-14
Frankenweenie,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Charlie Tahan', 1: ""Catherine O'Hara"", 2: 'Martin Short', 3: 'Martin Landau', 4: 'Atticus Shaffer', 5: 'Winona Ryder', 6: 'Robert Capron'}",Tim Burton,87,932,0,0,1,39000000,35287788,27.908783,6.6,0.7,0.87,0.74,2012-10-04
Serenity,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Nathan Fillion', 1: 'Gina Torres', 2: 'Alan Tudyk', 3: 'Morena Baccarin', 4: 'Adam Baldwin', 5: 'Jewel Staite', 6: 'Sean Maher'}",Joss Whedon,119,1264,1,0,1,39000000,38869464,45.388937,7.4,0.79,0.83,0.74,2005-08-25
Against the Ropes,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Meg Ryan', 1: 'Tony Shalhoub', 2: 'Joe Cortese', 3: 'Kerry Washington', 4: 'Omar Epps', 5: 'Charles S. Dutton', 6: 'Tim Daly'}",Charles S. Dutton,106,32,0,0,0,39000000,6614280,2.817364,4.5,0.53,0.12,0.36,2004-02-20
Superman III,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Christopher Reeve', 1: 'Richard Pryor', 2: 'Jackie Cooper', 3: 'Marc McClure', 4: ""Annette O'Toole"", 5: 'Annie Ross', 6: 'Pamela Stephenson'}",Richard Lester,125,490,0,0,1,39000000,75850624,22.164202,5.3,0.49,0.26,0.42,1983-06-17
Grudge Match,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Robert De Niro', 1: 'Sylvester Stallone', 2: 'Alan Arkin', 3: 'Jon Bernthal', 4: 'Kevin Hart', 5: 'Kim Basinger', 6: 'LL Cool J'}",Peter Segal,113,433,0,0,1,40000000,44907260,21.362949,6,0.64,0.3,0.35,2013-12-25
Red Cliff,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Chang Chen', 1: 'Hu Jun', 2: 'Tony Leung Chiu-Wai', 3: 'Takeshi Kaneshiro', 4: 'Song Jia', 5: 'Zhao Wei', 6: 'Zhang Fengyi'}",John Woo,150,205,1,0,1,80341000,127814609,14.8375,7.1,0.74,0.9,0.73,2008-07-10
Sweet Home Alabama,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Reese Witherspoon', 1: 'Josh Lucas', 2: 'Patrick Dempsey', 3: 'Candice Bergen', 4: 'Rhona Mitra', 5: 'Deborah Duke', 6: 'Fred Ward'}",Andy Tennant,108,394,0,0,1,30000000,180622424,18.256028,6,0.62,0.38,0.45,2002-09-26
The Ugly Truth,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Katherine Heigl', 1: 'Gerard Butler', 2: 'Eric Winter', 3: 'Bree Turner', 4: 'Nick Searcy', 5: 'Jesse D. Goins', 6: 'Cheryl Hines'}",Robert Luketic,96,972,1,0,1,38000000,205298907,22.332927,6.4,0.65,0.13,0.28,2009-07-24
Spy Kids 2: The Island of Lost Dreams,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Antonio Banderas', 1: 'Carla Gugino', 2: 'Alexa PenaVega', 3: 'Daryl Sabara', 4: 'Steve Buscemi', 5: 'Mike Judge', 6: 'Danny Trejo'}",Robert Rodriguez,100,521,1,1,1,38000000,119723358,24.085144,5.3,0.51,0.75,0.66,2002-08-07
Star Trek: Generations,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Patrick Stewart', 1: 'Jonathan Frakes', 2: 'Brent Spiner', 3: 'LeVar Burton', 4: 'Michael Dorn', 5: 'Gates McFadden', 6: 'Marina Sirtis'}",David Carson,118,452,0,0,1,38000000,120000000,14.779041,6.4,0.66,0.47,0.55,1994-11-17
The Grandmaster,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]","{0: 'Tony Leung Chiu-Wai', 1: 'Zhang Ziyi', 2: 'Song Hye-kyo', 3: 'Chang Chen', 4: 'Zhao Benshan', 5: 'Cung Le', 6: 'Yuen Woo-ping'}",Wong Kar-wai,130,273,0,0,1,3860000,64076736,19.947265,6.3,0.65,0.79,0.73,2013-01-08
Water for Elephants,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Robert Pattinson', 1: 'Reese Witherspoon', 2: 'Christoph Waltz', 3: 'Tatum Etheridge', 4: 'Hal Holbrook', 5: 'Richard Brake', 6: 'Paul Schneider'}",Francis Lawrence,120,850,0,0,0,38000000,114156230,16.801218,6.7,0.69,0.6,0.52,2011-03-15
The Hurricane,"[{""id"": 18, ""name"": ""Drama""}]","{0: 'Denzel Washington', 1: 'Vicellous Reon Shannon', 2: 'Deborah Kara Unger', 3: 'Liev Schreiber', 4: 'John Hannah', 5: 'Dan Hedaya', 6: 'Debbi Morgan'}",Norman Jewison,146,396,0,0,0,50000000,73956241,20.825781,7.2,0.76,0.83,0.74,1999-09-17
Enough,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Jennifer Lopez', 1: 'Billy Campbell', 2: 'Juliette Lewis', 3: 'Dan Futterman', 4: 'Fred Ward', 5: 'Bill Cobbs', 6: 'Jeff Kober'}",Michael Apted,114,264,1,0,1,38000000,51801187,11.500783,6.2,0.57,0.22,0.25,2002-05-24
Heartbreakers,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Sigourney Weaver', 1: 'Jennifer Love Hewitt', 2: 'Gene Hackman', 3: 'Ray Liotta', 4: 'Jason Lee', 5: 'Anne Bancroft', 6: 'Stacey Travis'}",David Mirkin,123,254,0,0,1,35000000,0,13.932203,5.7,0.62,0.53,0.47,2001-03-23
Paul Blart: Mall Cop 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Kevin James', 1: 'Raini Rodriguez', 2: 'Eduardo Verástegui', 3: 'Daniella Alonso', 4: 'Neal McDonough', 5: 'David Henrie', 6: 'D.B. Woodside'}",Andy Fickman,94,567,0,0,1,38000000,107597242,41.258487,5,0.44,0.05,0.13,2015-04-16
Joe Somebody,"[{""id"": 35, ""name"": ""Comedy""}]","{0: 'Tim Allen', 1: 'Julie Bowen', 2: 'Kelly Lynch', 3: 'Greg Germann', 4: 'Jim Belushi', 5: 'Hayden Panettiere', 6: 'Patrick Warburton'}",John Pasquin,99,40,0,0,1,38000000,0,5.257009,5.5,0.55,0.4,0.42,2001-12-21
The Ninth Gate,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Johnny Depp', 1: 'Frank Langella', 2: 'Lena Olin', 3: 'Emmanuelle Seigner', 4: 'Barbara Jefford', 5: 'Jack Taylor', 6: 'José López Rodero'}",Roman Polanski,133,756,1,1,1,38000000,58401898,30.359164,6.3,0.67,0.42,0.44,1999-08-24
Precious,"[{""id"": 18, ""name"": ""Drama""}]","{0: 'Gabourey Sidibe', 1: ""Mo'Nique"", 2: 'Paula Patton', 3: 'Mariah Carey', 4: 'Lenny Kravitz', 5: 'Sherri Shepherd', 6: 'Stephanie Andujar'}",Lee Daniels,110,417,0,0,0,10000000,47536959,18.664624,6.9,0.73,0.91,0.79,2009-11-06
White Squall,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Jeff Bridges', 1: 'Caroline Goodall', 2: 'John Savage', 3: 'Scott Wolf', 4: 'Jeremy Sisto', 5: 'Ryan Phillippe', 6: 'David Lascher'}",Ridley Scott,129,86,0,0,1,38000000,10300000,10.047579,6.3,0.66,0.6,0.53,1996-02-02
The Thing,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Kurt Russell', 1: 'Keith David', 2: 'Wilford Brimley', 3: 'Donald Moffat', 4: 'Richard Dysart', 5: 'Charles Hallahan', 6: 'T. K. Carter'}",John Carpenter,109,1588,0,0,0,15000000,19629760,52.731379,7.8,0.81,0.83,0.57,1982-06-25
Riddick,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Vin Diesel', 1: 'Karl Urban', 2: 'Katee Sackhoff', 3: 'Jordi Mollà', 4: 'Bokeem Woodbine', 5: 'Nolan Gerard Funk', 6: 'Noah Danby'}",David Twohy,119,2035,0,0,1,38000000,98337295,46.630062,6.2,0.64,0.57,0.49,2013-09-02
City of Ember,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Saoirse Ronan', 1: 'Harry Treadaway', 2: 'Mary Kay Place', 3: 'Bill Murray', 4: 'Martin Landau', 5: 'Toby Jones', 6: 'Tim Robbins'}",Gil Kenan,90,605,0,0,1,55000000,17869048,23.465539,6.2,0.65,0.53,0.58,2008-10-07
The Master,"[{""id"": 18, ""name"": ""Drama""}]","{0: 'Joaquin Phoenix', 1: 'Philip Seymour Hoffman', 2: 'Amy Adams', 3: 'Laura Dern', 4: 'Jesse Plemons', 5: 'Ambyr Childers', 6: 'Rami Malek'}",Paul Thomas Anderson,137,701,0,1,0,32000000,28258060,25.682509,7,0.71,0.86,0.86,2012-09-07
The Express,"[{""id"": 18, ""name"": ""Drama""}]","{0: 'Rob Brown', 1: 'Dennis Quaid', 2: 'Darrin Henson', 3: 'Charles S. Dutton', 4: 'Aunjanue Ellis', 5: 'Omar Benson Miller', 6: 'Clancy Brown'}",Gary Fleder,130,71,0,0,0,40000000,9793496,3.87823,7.1,0.73,0.6,0.58,2008-10-10
The 5th Wave,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]","{0: 'Chloë Grace Moretz', 1: 'Nick Robinson', 2: 'Alex Roe', 3: 'Maika Monroe', 4: 'Zackary Arthur', 5: 'Liev Schreiber', 6: 'Maria Bello'}",J Blakeson,112,1945,0,0,1,38000000,109906372,57.889964,5.6,0.52,0.15,0.33,2016-01-14
Creed,"[{""id"": 18, ""name"": ""Drama""}]","{0: 'Michael B. Jordan', 1: 'Sylvester Stallone', 2: 'Graham McTavish', 3: 'Tessa Thompson', 4: 'Phylicia Rashād', 5: 'Hans Marrero', 6: 'Will Blagrove'}",Ryan Coogler,133,1915,0,0,0,37000000,173567581,57.773583,7.3,0.76,0.95,0.82,2015-11-25
The Town,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]","{0: 'Ben Affleck', 1: 'Rebecca Hall', 2: 'Jeremy Renner', 3: 'Jon Hamm', 4: 'Blake Lively', 5: 'Owen Burke', 6: 'Titus Welliver'}",Ben Affleck,125,1468,0,1,1,37000000,154026136,24.218358,7,0.76,0.93,0.74,2010-09-15
What to Expect When You're Expecting,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'Cameron Diaz', 1: 'Jennifer Lopez', 2: 'Elizabeth Banks', 3: 'Anna Kendrick', 4: 'Brooklyn Decker', 5: 'Matthew Morrison', 6: 'Rodrigo Santoro'}",Kirk Jones,110,594,1,1,1,40000000,79700000,27.009723,5.8,0.57,0.22,0.41,2012-05-17
Burn After Reading,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]","{0: 'George Clooney', 1: 'Frances McDormand', 2: 'Brad Pitt', 3: 'John Malkovich', 4: 'Tilda Swinton', 5: 'Richard Jenkins', 6: 'Elizabeth Marvel'}",Ethan Coen,96,1222,0,1,1,37000000,163720069,31.941347,6.5,0.7,0.79,0.63,2008-09-05
Nim's Island,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]","{0: 'Abigail Breslin', 1: 'Jodie Foster', 2: 'Gerard Butler', 3: 'Michael Carman', 4: 'Mark Brady', 5: 'Anthony Simcoe', 6: 'Christopher James Baker'}",Mark Levin,96,330,0,0,1,37000000,100076342,14.353279,5.6,0.6,0.51,0.55,2008-04-03
Rush,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]","{0: 'Daniel Brühl', 1: 'Chris Hemsworth', 2: 'Olivia Wilde', 3: 'Alexandra Maria Lara', 4: 'Natalie Dormer', 5: 'Christian McKay', 6: 'Tom Wlaschiha'}",Ron Howard,123,2277,0,1,1,38000000,90247624,33.003828,7.7,0.81,0.89,0.75,2013-09-02
Magnolia,"[{""id"": 18, ""name"": ""Drama""}]","{0: 'Julianne Moore', 1: 'William H. Macy', 2: 'John C. Reilly', 3: 'Tom Cruise', 4: 'Philip Baker Hall', 5: 'Philip Seymour Hoffman', 6: 'Jason Robards'}",Paul Thomas Anderson,188,825,0,1,0,37000000,48451803,30.993736,7.5,0.8,0.83,0.77,1999-12-08
Cop Out,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]","{0: 'Bruce Willis', 1: 'Tracy Morgan', 2: 'Juan Carlos Hernández', 3: 'Seann William Scott', 4: 'Michelle Trachtenberg', 5: 'Jason Lee', 6: 'Kevin Pollak'}",Kevin Smith,107,511,0,1,1,30000000,55583804,25.825771,5.3,0.56,0.19,0.31,2010-02-26
How to Be Single,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Dakota Johnson', 1: 'Rebel Wilson', 2: 'Alison Brie', 3: 'Nicholas Braun', 4: 'Damon Wayans Jr.', 5: 'Anders Holm', 6: 'Jake Lacy'}",Christian Ditter,110,1201,0,0,1,38000000,112343513,46.078371,5.9,0.61,0.47,0.51,2016-01-21
Dolphin Tale,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]","{0: 'Morgan Freeman', 1: 'Ashley Judd', 2: 'Harry Connick Jr.', 3: 'Nathan Gamble', 4: 'Kris Kristofferson', 5: 'Ray McKinnon', 6: 'Frances Sternhagen'}",Charles Martin Smith,113,163,0,1,0,37000000,95404397,6.63839,6.7,0.69,0.81,0.64,2011-09-23
Twilight,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]","{0: 'Kristen Stewart', 1: 'Robert Pattinson', 2: 'Billy Burke', 3: 'Taylor Lautner', 4: 'Peter Facinelli', 5: 'Ashley Greene', 6: 'Jackson Rathbone'}",Catherine Hardwicke,122,3561,0,0,1,37000000,392616625,127.084938,5.8,0.52,0.49,0.56,2008-11-20
